 Golf With Your Friends, , , , $5.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux, , , 
 Worms Crazy Golf, , , , $9.99 usd, , Redeem for Windows, Redeem for Mac, , , , 
 Vertiginous Golf, , , , $9.99 usd, , Download for Windows, Redeem for Windows, Download for Mac, Redeem for Mac, Download for Linux, Redeem for Linux
 Vertiginous Golf 4-Pack, , , , $29.99 usd, , Download for Windows, Redeem for Windows, Download for Mac, Redeem for Mac, Download for Linux, Redeem for Linux
 Dangerous Golf, , , , $19.99 usd, , Redeem for Windows, , , , , 
 The Elder Scrolls® Online: Gold Edition,-40%, $35.99 usd, On Sale, , , Redeem for Windows, Redeem for Mac, , , , 
 For Honor Gold Edition, , , , $99.99 usd, Pre-Order, Redeem for Windows, , , , , 
 Assassin's Creed® Revelations Gold Edition, , , , $29.99 usd, , Redeem for Windows, , , , , 
 Tropico 3: Gold Edition, , , , $14.99 usd, , Redeem for Windows, , , , , 
 War for the Overworld: Heart of Gold, , , , $7.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux, , , 
 Xenonauts, , , , $24.99 usd, , Download for Windows, Redeem for Windows, Download for Mac, Download for Linux, , 
 x3: Gold Edition, , , , $24.99 usd, , Redeem for Windows, Redeem for Mac, Redeem for Linux, , , 
 Worms Revolution Gold, , , , $24.99 usd, , Redeem for Windows, , , , , 
 War for the Overworld Gold Edition, , , , $44.99 usd, , Download for Windows, Redeem for Windows, Download for Mac, Redeem for Mac, Download for Linux, Redeem for Linux
 Watch_Dogs® 2 Gold Edition, , , , $99.99 usd, , Redeem for Windows, , , , , 
 Tom Clancy’s The Division™ Gold Edition, , , , $89.99 usd, , Redeem for Windows, , , , , 
 Tom Clancy's Rainbow Six® Siege - Gold Edition Year 2, , , , $79.99 usd, , Redeem for Windows, , , , , 
 Tom Clancy's Rainbow Six® 3 Gold, , , , $9.99 usd, , Redeem for Windows, , , , , 
 Thief Gold (The Dark Project), , , , $6.25 usd, , Redeem for Windows, , , , , 
 The Guild Gold Edition, , , , $9.99 usd, , Redeem for Windows, , , , , 
